car_pos_x,car_pos_y,car_vel_x,car_vel_y,car_angular_vel,wheel_angular_vel_left_back,wheel_angular_vel_right_back,min_lidar,wheelVelocity
-0.1,0.1,-0.2,0.2,0.8,11.0,2.4,"[100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 0.6720626, 0.6606655, 0.6504963, 0.6414816, 0.6335595, 0.626675963, 0.6207854, 0.61585, 0.6118382, 0.6087253, 0.6064914, 0.6051235, 0.604612768, 0.60495615, 0.6061562, 0.608219564, 0.611159265, 0.614993334, 0.61974597, 0.6254469, 0.632132769, 0.6398479, 0.6486442, 0.658582151, 0.66973263, 0.682177842, 0.6960121, 0.7113455, 0.7283044, 0.747035444, 0.7677093, 0.790523052, 0.8157081, 0.8435361, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100]","[1000, 0]"
-0.1,0.1,-0.2,0.2,0.9,11.2,2.2,"[100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 0.673492134, 0.661548853, 0.650864661, 0.6413619, 0.6329738, 0.625642538, 0.619319558, 0.6139632, 0.6095394, 0.6060203, 0.6033838, 0.6016139, 0.6006998, 0.6006355, 0.601421356, 0.6030618, 0.6055664, 0.6089513, 0.6132369, 0.6184506, 0.6246253, 0.6318014, 0.640026748, 0.6493573, 0.6598584, 0.671606541, 0.684688747, 0.699207544, 0.71528, 0.733042538, 0.752652168, 0.7742922, 0.798175156, 0.8245521, 0.8537151, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100]","[1000, 0]"
-0.1,0.1,-0.2,0.2,1.0,12.1,3.4,"[100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 0.663303733, 0.6520359, 0.641982, 0.633069754, 0.6252374, 0.618432, 0.6126082, 0.6077288, 0.6037625, 0.6006849, 0.59847635, 0.597124, 0.596619, 0.5969585, 0.598144948, 0.6001849, 0.6030913, 0.6068818, 0.6115805, 0.617216766, 0.6238268, 0.631454349, 0.640150964, 0.649975955, 0.6610001, 0.6733041, 0.6869813, 0.7021407, 0.7189072, 0.7374259, 0.757865131, 0.780419946, 0.8053193, 0.832831562, 0.863272, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100]","[1000, 0]"
-0.1,0.1,-0.2,0.2,1.0,12.4,2.9,"[100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 0.6655377, 0.6536597, 0.6430311, 0.633574843, 0.6252237, 0.617920458, 0.6116167, 0.60627073, 0.6018486, 0.5983224, 0.595669866, 0.59387517, 0.592927, 0.592819631, 0.5935524, 0.595129967, 0.5975617, 0.600862741, 0.605053365, 0.610159934, 0.6162154, 0.62325877, 0.631336749, 0.6405045, 0.6508264, 0.6623768, 0.6752421, 0.689521968, 0.705332, 0.7228054, 0.7420967, 0.7633854, 0.786881, 0.8128282, 0.8415141, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100]","[1000, 0]"
-0.2,0.1,-0.2,0.2,0.8,10.7,3.2,"[100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 0.654274344, 0.6432007, 0.6333235, 0.6245714, 0.6168841, 0.6102099, 0.604504466, 0.599730968, 0.5958591, 0.592864633, 0.590729058, 0.5894396, 0.5889879, 0.5893718, 0.590593, 0.592659235, 0.5955834, 0.5993832, 0.6040824, 0.609710932, 0.616305232, 0.6239084, 0.632571638, 0.642355, 0.653328657, 0.6655729, 0.6791814, 0.694262147, 0.7109403, 0.7293599, 0.7496894, 0.772123456, 0.796891, 0.8242583, 0.854541659, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100]","[1000, 0]"
-0.2,0.1,-0.2,0.2,0.8,16.4,3.2,"[100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 0.644188464, 0.633825958, 0.624613643, 0.6164869, 0.6093907, 0.603277147, 0.5981068, 0.5938465, 0.5904691, 0.5879541, 0.58628577, 0.585454047, 0.585453868, 0.5862851, 0.5879528, 0.5904674, 0.5938441, 0.5981039, 0.6032738, 0.6093866, 0.6164827, 0.624608457, 0.6338202, 0.644182265, 0.6557702, 0.6686705, 0.6829839, 0.698827267, 0.7163341, 0.7356605, 0.7569877, 0.780526936, 0.80652535, 0.8352728, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100]","[1000, 0]"
-0.2,0.1,-0.2,0.2,0.8,15.6,2.8,"[100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 0.6453062, 0.6344634, 0.6247973, 0.616238654, 0.6087287, 0.6022164, 0.596659, 0.5920208, 0.5882722, 0.585390151, 0.5833567, 0.582159042, 0.581790268, 0.5822482, 0.5835353, 0.5856596, 0.588634253, 0.5924772, 0.5972129, 0.602871358, 0.609489, 0.6171094, 0.625784338, 0.635573864, 0.646548, 0.65878737, 0.6723867, 0.6874538, 0.7041139, 0.7225123, 0.742817461, 0.765225232, 0.7899646, 0.8173047, 0.8475625, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100]","[1000, 0]"
-0.2,0.1,-0.2,0.2,0.8,11.4,2.7,"[100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 0.635194659, 0.6250788, 0.616093457, 0.6081758, 0.6012715, 0.595334768, 0.5903272, 0.586216748, 0.5829776, 0.580589354, 0.5790378, 0.5783131, 0.5784113, 0.5793326, 0.5810827, 0.5836722, 0.5871172, 0.5914391, 0.5966651, 0.602829039, 0.60997045, 0.618137658, 0.6273865, 0.6377823, 0.649400651, 0.662329257, 0.6766691, 0.692537367, 0.7100697, 0.7294229, 0.7507796, 0.7743524, 0.800390363, 0.829188, 0.8610911, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100]","[1000, 0]"
-0.2,0.1,-0.2,0.2,0.9,11.2,2.7,"[100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 0.6363416, 0.625737965, 0.6162914, 0.6079341, 0.6006089, 0.594266, 0.5888642, 0.584368348, 0.580750346, 0.5779878, 0.5760629, 0.574964643, 0.57468605, 0.5752254, 0.5765861, 0.5787762, 0.5818094, 0.585704446, 0.590485454, 0.596183, 0.6028341, 0.6104826, 0.6191803, 0.6289879, 0.639975131, 0.652224541, 0.6658298, 0.6808997, 0.6975599, 0.715957046, 0.736259937, 0.758666039, 0.7834056, 0.8107492, 0.841016054, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100]","[1000, 0]"
-0.2,0.1,-0.2,0.2,0.6,17.7,2.9,"[100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 0.626370251, 0.616170466, 0.607098162, 0.599088967, 0.5920886, 0.5860498, 0.5809334, 0.576706469, 0.573342443, 0.5708207, 0.569125235, 0.568245947, 0.5681775, 0.568919659, 0.570476353, 0.572857738, 0.5760778, 0.5801571, 0.585121036, 0.591001332, 0.597836256, 0.6056711, 0.61455965, 0.624563932, 0.635756433, 0.6482211, 0.662054241, 0.6773681, 0.6942925, 0.7129768, 0.733595848, 0.7563523, 0.781484663, 0.8092714, 0.84004277, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100]","[1000, 0]"
